Date,Close,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8
10/9/2017,0.26358138,0.238632682,0.234582568,0.266551463,0.275839724,0.243654822,0.292958203,0.288368074,0.190517334
10/10/2017,0.289826115,0.26358138,0.238632682,0.234582568,0.266551463,0.275839724,0.243654822,0.292958203,0.288368074
10/11/2017,0.255157144,0.289826115,0.26358138,0.238632682,0.234582568,0.266551463,0.275839724,0.243654822,0.292958203
10/12/2017,0.269953559,0.255157144,0.289826115,0.26358138,0.238632682,0.234582568,0.266551463,0.275839724,0.243654822
10/13/2017,0.323955071,0.269953559,0.255157144,0.289826115,0.26358138,0.238632682,0.234582568,0.266551463,0.275839724
10/16/2017,0.347553732,0.323955071,0.269953559,0.255157144,0.289826115,0.26358138,0.238632682,0.234582568,0.266551463
10/17/2017,0.326493142,0.347553732,0.323955071,0.269953559,0.255157144,0.289826115,0.26358138,0.238632682,0.234582568
10/18/2017,0.303110487,0.326493142,0.347553732,0.323955071,0.269953559,0.255157144,0.289826115,0.26358138,0.238632682
10/19/2017,0.243492818,0.303110487,0.326493142,0.347553732,0.323955071,0.269953559,0.255157144,0.289826115,0.26358138
10/20/2017,0.258505238,0.243492818,0.303110487,0.326493142,0.347553732,0.323955071,0.269953559,0.255157144,0.289826115
10/23/2017,0.179069014,0.258505238,0.243492818,0.303110487,0.326493142,0.347553732,0.323955071,0.269953559,0.255157144
10/24/2017,0.193487418,0.179069014,0.258505238,0.243492818,0.303110487,0.326493142,0.347553732,0.323955071,0.269953559
10/25/2017,0.193811427,0.193487418,0.179069014,0.258505238,0.243492818,0.303110487,0.326493142,0.347553732,0.323955071
10/26/2017,0.207581812,0.193811427,0.193487418,0.179069014,0.258505238,0.243492818,0.303110487,0.326493142,0.347553732
10/27/2017,0.204449725,0.207581812,0.193811427,0.193487418,0.179069014,0.258505238,0.243492818,0.303110487,0.326493142
10/30/2017,0.227940382,0.204449725,0.207581812,0.193811427,0.193487418,0.179069014,0.258505238,0.243492818,0.303110487
10/31/2017,0.312884761,0.227940382,0.204449725,0.207581812,0.193811427,0.193487418,0.179069014,0.258505238,0.243492818
11/1/2017,0.354843936,0.312884761,0.227940382,0.204449725,0.207581812,0.193811427,0.193487418,0.179069014,0.258505238
11/2/2017,0.330111243,0.354843936,0.312884761,0.227940382,0.204449725,0.207581812,0.193811427,0.193487418,0.179069014
11/3/2017,0.335889405,0.330111243,0.354843936,0.312884761,0.227940382,0.204449725,0.207581812,0.193811427,0.193487418
11/6/2017,0.326979155,0.335889405,0.330111243,0.354843936,0.312884761,0.227940382,0.204449725,0.207581812,0.193811427
11/7/2017,0.254239119,0.326979155,0.335889405,0.330111243,0.354843936,0.312884761,0.227940382,0.204449725,0.207581812
