Class,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8
0,0.212549951,0.147964143,0.141321957,0.156982396,0.218598121,0.255427152,0.209741873,0.199535587
1,0.200399611,0.212549951,0.147964143,0.141321957,0.156982396,0.218598121,0.255427152,0.209741873
1,0.200237607,0.200399611,0.212549951,0.147964143,0.141321957,0.156982396,0.218598121,0.255427152
1,0.261367318,0.200237607,0.200399611,0.212549951,0.147964143,0.141321957,0.156982396,0.218598121
1,0.357544011,0.261367318,0.200237607,0.200399611,0.212549951,0.147964143,0.141321957,0.156982396
1,0.35857004,0.357544011,0.261367318,0.200237607,0.200399611,0.212549951,0.147964143,0.141321957
1,0.444972459,0.35857004,0.357544011,0.261367318,0.200237607,0.200399611,0.212549951,0.147964143
1,0.446214494,0.444972459,0.35857004,0.357544011,0.261367318,0.200237607,0.200399611,0.212549951
1,0.477265363,0.446214494,0.444972459,0.35857004,0.357544011,0.261367318,0.200237607,0.200399611
1,0.495517875,0.477265363,0.446214494,0.444972459,0.35857004,0.357544011,0.261367318,0.200237607
0,0.554541527,0.495517875,0.477265363,0.446214494,0.444972459,0.35857004,0.357544011,0.261367318
1,0.58251431,0.554541527,0.495517875,0.477265363,0.446214494,0.444972459,0.35857004,0.357544011
1,0.527540771,0.58251431,0.554541527,0.495517875,0.477265363,0.446214494,0.444972459,0.35857004
0,0.545469273,0.527540771,0.58251431,0.554541527,0.495517875,0.477265363,0.446214494,0.444972459
1,0.632627714,0.545469273,0.527540771,0.58251431,0.554541527,0.495517875,0.477265363,0.446214494
1,0.626309537,0.632627714,0.545469273,0.527540771,0.58251431,0.554541527,0.495517875,0.477265363
1,0.671886813,0.626309537,0.632627714,0.545469273,0.527540771,0.58251431,0.554541527,0.495517875
1,0.693163409,0.671886813,0.626309537,0.632627714,0.545469273,0.527540771,0.58251431,0.554541527
0,0.733178529,0.693163409,0.671886813,0.626309537,0.632627714,0.545469273,0.527540771,0.58251431
1,0.755589156,0.733178529,0.693163409,0.671886813,0.626309537,0.632627714,0.545469273,0.527540771
1,0.7285884,0.755589156,0.733178529,0.693163409,0.671886813,0.626309537,0.632627714,0.545469273
0,0.786370018,0.7285884,0.755589156,0.733178529,0.693163409,0.671886813,0.626309537,0.632627714
1,0.808726644,0.786370018,0.7285884,0.755589156,0.733178529,0.693163409,0.671886813,0.626309537
0,0.790420132,0.808726644,0.786370018,0.7285884,0.755589156,0.733178529,0.693163409,0.671886813
0,0.8178529,0.790420132,0.808726644,0.786370018,0.7285884,0.755589156,0.733178529,0.693163409
1,0.756831191,0.8178529,0.790420132,0.808726644,0.786370018,0.7285884,0.755589156,0.733178529
1,0.735500594,0.756831191,0.8178529,0.790420132,0.808726644,0.786370018,0.7285884,0.755589156
1,0.789502106,0.735500594,0.756831191,0.8178529,0.790420132,0.808726644,0.786370018,0.7285884
1,0.846527703,0.789502106,0.735500594,0.756831191,0.8178529,0.790420132,0.808726644,0.786370018
0,0.921481801,0.846527703,0.789502106,0.735500594,0.756831191,0.8178529,0.790420132,0.808726644
1,0.986175613,0.921481801,0.846527703,0.789502106,0.735500594,0.756831191,0.8178529,0.790420132
1,0.951020629,0.986175613,0.921481801,0.846527703,0.789502106,0.735500594,0.756831191,0.8178529
0,0.954206718,0.951020629,0.986175613,0.921481801,0.846527703,0.789502106,0.735500594,0.756831191
1,1,0.954206718,0.951020629,0.986175613,0.921481801,0.846527703,0.789502106,0.735500594
1,0.900313209,1,0.954206718,0.951020629,0.986175613,0.921481801,0.846527703,0.789502106
0,0.958364834,0.900313209,1,0.954206718,0.951020629,0.986175613,0.921481801,0.846527703
0,0.999459985,0.958364834,0.900313209,1,0.954206718,0.951020629,0.986175613,0.921481801
0,0.939734313,0.999459985,0.958364834,0.900313209,1,0.954206718,0.951020629,0.986175613
1,0.82249703,0.939734313,0.999459985,0.958364834,0.900313209,1,0.954206718,0.951020629
