Date,Open,High,Low,Close,Volume
21-Dec-17,788.99,794.47,787.78,793.12,"58,471,026"
22-Dec-17,794.13,804.05,792.43,804.05,"155,157,158"
27-Dec-17,805.25,811.55,803.72,809.23,"126,863,621"
28-Dec-17,809.45,809.64,796.97,799.05,"58,408,789"
29-Dec-17,797.83,805.22,792.79,802.37,"69,180,489"
2-Jan-18,803.38,819.73,802.37,818.51,"62,696,158"
3-Jan-18,819.33,823.35,811.87,817.34,"39,019,293"
4-Jan-18,820.02,826.32,814.86,825.78,"68,588,044"
5-Jan-18,827.87,833.06,825.83,829.72,"56,975,292"
8-Jan-18,830.27,838.11,823.21,837.13,"49,108,019"
9-Jan-18,836.48,841.36,833.58,841.28,"33,495,035"
10-Jan-18,840.28,845.23,830.34,836.28,"63,322,091"
11-Jan-18,835.05,846.98,833.35,846.98,"89,263,538"
12-Jan-18,848.29,854.27,841.93,851.12,"57,538,428"
15-Jan-18,851.53,852.99,843.96,847.73,"25,027,472"
16-Jan-18,848.64,852.85,846.39,852.81,"37,275,458"
17-Jan-18,850.74,851.23,833.26,841.51,"60,134,968"
18-Jan-18,841.52,843.56,831.8,837.56,"38,500,574"
19-Jan-18,838.56,850.44,838.31,847.56,"66,932,489"
22-Jan-18,848.68,859.34,844.64,858.12,"47,563,674"
23-Jan-18,861.77,872.03,861.57,872,"58,569,244"
24-Jan-18,873.12,883.99,865.45,883.98,"64,334,825"
25-Jan-18,883.77,886.18,875.67,877.47,"53,654,029"
26-Jan-18,877.36,882.88,874.89,878.06,"41,215,853"
29-Jan-18,878.95,889.17,875.09,886.54,"56,698,091"
30-Jan-18,885.23,886.02,859.72,868.08,"58,410,074"
31-Jan-18,867.02,879.01,857.49,878.83,"79,970,449"
1-Feb-18,881.75,895.64,877.42,886.44,"80,281,875"
2-Feb-18,884.9,885.7,870.55,875.38,"44,546,045"
5-Feb-18,868.85,868.85,850.19,853.67,"48,206,591"
6-Feb-18,842.06,842.06,814.96,838.8,"80,473,731"
7-Feb-18,844.89,850.26,840.71,849.94,"45,453,160"
8-Feb-18,847.72,856.19,841.38,841.38,"33,622,624"
9-Feb-18,829.13,835.04,821.74,828.78,"51,369,120"
12-Feb-18,835.23,844.58,823.46,823.46,"28,748,090"
13-Feb-18,822.91,829.06,811.54,821.85,"44,188,327"
14-Feb-18,825.35,829.23,818.08,825.64,"29,168,775"
15-Feb-18,829.74,844.79,829.68,842.9,"33,798,714"
16-Feb-18,847.31,849.32,839.14,846.07,"28,513,009"
20-Feb-18,845.07,848.49,836.09,841.83,"33,810,106"
21-Feb-18,839.58,839.58,835.03,838.69,"36,850,170"
22-Feb-18,843.45,847.2,835.65,845.34,"50,689,866"
23-Feb-18,847.11,849.98,838.12,844.12,"28,773,514"
26-Feb-18,844.81,846.52,836.82,837.04,"20,147,244"
27-Feb-18,837,840,828.51,837.77,"29,632,611"
28-Feb-18,834.59,835.72,829.73,835.66,"48,738,240"
1-Mar-18,831.94,836.98,826.61,831,"37,030,707"
2-Mar-18,828.3,830.51,812.19,813.09,"44,977,822"
5-Mar-18,813.16,817.52,794.15,794.51,"39,853,116"
6-Mar-18,800.56,807.32,798.1,799.2,"43,179,193"
